t,date,cases_new,cases_recovered,cases_active,daily_vaccinated,FIXED,new_exposed_over,new_exposed_under,new_exposed,E(t)= NewCt+1 / delta,delta E(t),S,S/N,S/N * I,beta1,beta2,gamma1,gamma2,,,,
0,1/25/2020,4,0,4,0,,0.666666667,0.666666667,0.666666667,0,0,32600000,1,4,0.166666667,1.000000002,0,1,,TRUE,0,0
1,1/26/2020,0,0,4,0,N,1,0.166666667,0.583333333,0,0,32599999.33,0.99999998,3.999999918,0.145833336,0.875000016,0,0,,TRUE,0,0
2,1/27/2020,0,0,4,0,32600000,0.833333333,0.333333333,0.583333333,0,0,32599998.75,0.999999962,3.999999847,0.145833339,0.875000032,0,0,,TRUE,0,0
3,1/28/2020,0,0,4,0,,1,0.666666667,0.833333333,18,3,32599998.17,0.999999944,3.999999775,0.208333345,1.250000068,0,-0.75,,TRUE,3,3
4,1/29/2020,3,0,7,0,delta,1.166666667,1,1.083333333,6,1,32599997.33,0.999999918,6.999999427,0.154761917,0.928571503,0,0.285714286,,TRUE,1,1
5,1/30/2020,1,0,8,0,0.166666667,1.333333333,1.166666667,1.25,0,0,32599996.25,0.999999885,7.99999908,0.156250018,0.937500108,0,0.125,,TRUE,0,0
6,1/31/2020,0,0,8,0,1/delta,1.5,1.333333333,1.416666667,0,0,32599995,0.999999847,7.999998773,0.17708336,1.062500164,0,0,,TRUE,0,0
7,2/1/2020,0,0,8,0,6,1.666666667,1.166666667,1.416666667,0,0,32599993.58,0.999999803,7.999998425,0.177083368,1.06250021,0,0,,TRUE,0,0
8,2/2/2020,0,0,8,0,,1.333333333,1,1.166666667,0,0,32599992.17,0.99999976,7.999998078,0.145833368,0.875000211,0,0,,TRUE,0,0
9,2/3/2020,0,0,8,0,,1,0.666666667,0.833333333,12,2,32599991,0.999999724,7.999997791,0.104166695,0.625000172,0,-0.25,,TRUE,2,2
10,2/4/2020,2,0,10,0,,0.666666667,0.5,0.583333333,12,2,32599990.17,0.999999698,9.999996984,0.058333351,0.350000105,0.1,0.1,,TRUE,1,1
11,2/5/2020,2,1,11,0,,0.666666667,0.333333333,0.5,12,2,32599989.58,0.99999968,10.99999649,0.04545456,0.27272736,0,0,,TRUE,2,2
12,2/6/2020,2,0,13,0,,1,0.333333333,0.666666667,6,1,32599989.08,0.999999665,12.99999565,0.051282068,0.307692411,0,0.076923077,,TRUE,1,1
13,2/7/2020,1,0,14,0,,0.833333333,0.666666667,0.75,6,1,32599988.42,0.999999645,13.99999503,0.053571448,0.321428686,0.071428571,0.071428571,,TRUE,0,0
14,2/8/2020,1,1,14,0,,0.666666667,0.666666667,0.666666667,6,1,32599987.67,0.999999622,13.9999947,0.047619066,0.285714394,0.071428571,0.071428571,,TRUE,0,0
15,2/9/2020,1,1,14,0,,0.666666667,0.666666667,0.666666667,6,1,32599987,0.999999601,13.99999442,0.047619067,0.2857144,0,0,,TRUE,1,1
16,2/10/2020,1,0,15,0,,0.666666667,0.666666667,0.666666667,0,0,32599986.33,0.999999581,14.99999371,0.044444463,0.266666779,0,0.066666667,,TRUE,0,0
17,2/11/2020,0,0,15,0,,0.666666667,0.5,0.583333333,0,0,32599985.67,0.99999956,14.9999934,0.038888906,0.233333435,0,0,,TRUE,0,0
18,2/12/2020,0,0,15,0,,0.5,0,0.25,0,0,32599985.08,0.999999542,14.99999314,0.016666674,0.100000046,0,0,,TRUE,0,0
19,2/13/2020,0,0,15,0,,0,0,0,6,1,32599984.83,0.999999535,14.99999302,0,0,0.266666667,0.2,,TRUE,-3,-3
20,2/14/2020,1,4,12,0,,0,0,0,18,3,32599984.83,0.999999535,11.99999442,0,0,0.083333333,-0.083333333,,TRUE,2,2
21,2/15/2020,3,1,14,0,,0,0,0,0,0,32599984.83,0.999999535,13.99999349,0,0,0,0.214285714,,TRUE,0,0
22,2/16/2020,0,0,14,0,,0,0,0,0,0,32599984.83,0.999999535,13.99999349,0,0,0.214285714,0.214285714,,TRUE,-3,-3
23,2/17/2020,0,3,11,0,,0,0,0,0,0,32599984.83,0.999999535,10.99999488,0,0,0.181818182,0.181818182,,TRUE,-2,-2
24,2/18/2020,0,2,9,0,,0.166666667,0,0.083333333,0,0,32599984.83,0.999999535,8.999995813,0.009259264,0.055555581,0.444444444,0.444444444,,TRUE,-4,-4
25,2/19/2020,0,4,5,0,,0.5,0.166666667,0.333333333,0,0,32599984.75,0.999999532,4.999997661,0.066666698,0.400000186,0,0,,TRUE,0,0
26,2/20/2020,0,0,5,0,,0.5,0.5,0.5,0,0,32599984.42,0.999999522,4.99999761,0.100000048,0.600000287,0,0,,TRUE,0,0
27,2/21/2020,0,0,5,0,,1.166666667,0.5,0.833333333,0,0,32599983.92,0.999999507,4.999997533,0.166666749,1.000000492,0.2,0.2,,TRUE,-1,-1
