date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,New_Infections,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta=New_inf/IS,gamma=Rt+1/I_t,v_t = V/S,,,,,,,,,,
01/01/2021,Johor,112,31,2954,0,,,410.6,2900,298.6,3794088,0.999970481,2953.912802,3.66354E-08,0.010155721,0,,INF,E,DE,S,SN,,BETA,GAMMA,V_T
02/01/2021,Johor,580,30,3502,0,,,515.2,895,-64.8,3793508,0.999817616,3501.361292,3.8781E-08,0.045117076,0,MIN,0,0,-2083.4,90977,0.884939208,,0,0,0
03/01/2021,Johor,179,158,3523,0,,N,539,1475,360,3793329,0.999770439,3522.191257,4.03325E-08,0.0422935,0,MAX,7873.4,43960,2037.4,6554324,1,,1.5447E-05,3.882352941,0.038864379
04/01/2021,Johor,295,149,3668,0,,32600000,540.4,2140,245.4,3793034,0.999692689,3666.872783,3.88418E-08,0.068974918,0,,,,,,,,,,
05/01/2021,Johor,428,253,3843,0,Malaysia,32657100,519,2855,91,3792606,0.999579885,3841.385498,3.5609E-08,0.008847255,0,,,,,,,,,,
06/01/2021,Johor,571,34,4377,0,,delta,484,5515,-87,3792035,0.999429392,4374.50245,2.91606E-08,0.013936486,0,,,,,,,,,,
07/01/2021,Johor,1103,61,5418,0,,0.2,351.8,1490,-751.2,3790932,0.999138685,5413.333397,1.71282E-08,0.07622739,0,,,,,,,,,,
08/01/2021,Johor,298,413,5303,0,,1/delta,399.2,1510,101.2,3790634,0.999060144,5298.015946,1.9859E-08,0.011880068,0,,,,,,,,,,
09/01/2021,Johor,302,63,5541,0,,5,430.8,1605,128.8,3790332,0.998980549,5535.351223,2.05121E-08,0.008301751,0,,,,,,,,,,
10/01/2021,Johor,321,46,5815,0,Johor,3794200,473.6,1980,152.6,3790011,0.998895946,5808.579929,2.14893E-08,0.026139295,0,,,,,,,,,,
11/01/2021,Johor,396,152,6059,0,Kedah,2193600,538.2,2210,142.2,3789615,0.998791577,6051.678163,2.34395E-08,0.030533091,0,,,,,,,,,,
12/01/2021,Johor,442,185,6313,0,Kelantan,1928900,522.2,2675,80.2,3789173,0.998675083,6304.635799,2.18301E-08,0.021226042,0,,,,,,,,,,
13/01/2021,Johor,535,134,6714,0,Melaka,937800,481,2300,-54,3788638,0.998534078,6704.157802,1.89095E-08,0.026064939,0,,,,,,,,,,
14/01/2021,Johor,460,175,6999,0,Negeri Sembilan,1128900,462.6,2675,2.6,3788178,0.998412841,6987.891472,1.74477E-08,0.017431062,0,,,,,,,,,,
15/01/2021,Johor,535,122,7411,0,Pahang,1684700,449.6,3595,-85.4,3787643,0.998271836,7398.192576,1.6017E-08,0.022669006,0,,,,,,,,,,
16/01/2021,Johor,719,168,7958,0,Perak,2509000,390.4,1810,-328.6,3786924,0.998082336,7942.739231,1.29545E-08,0.020356874,0,,,,,,,,,,
17/01/2021,Johor,362,162,8157,0,Perlis,255500,411.2,1645,49.2,3786562,0.997986927,8140.579367,1.33131E-08,0.030648523,0,,,,,,,,,,
18/01/2021,Johor,329,250,8233,0,Pulau Pinang,1774200,430.4,1840,101.4,3786233,0.997900216,8215.712479,1.38072E-08,0.011296004,0,,,,,,,,,,
19/01/2021,Johor,368,93,8505,0,Sabah,3832500,432.4,2350,64.4,3785865,0.997803226,8486.316437,1.34291E-08,0.012228101,0,,,,,,,,,,
20/01/2021,Johor,470,104,8868,0,Sarawak,2824700,444.2,2115,-25.8,3785395,0.997679353,8847.4205,1.32325E-08,0.065403699,0,,,,,,,,,,
21/01/2021,Johor,423,580,8710,0,Selangor,6555100,462.8,2330,39.8,3784972,0.997567867,8688.816119,1.40382E-08,0.003673938,0,,,,,,,,,,
22/01/2021,Johor,466,32,9141,0,Terengganu,1275200,583.4,2125,117.4,3784506,0.997445048,9117.645181,1.68641E-08,0.133355213,0,,,,,,,,,,
23/01/2021,Johor,425,1219,8347,0,W.P. Kuala Lumpur,1746600,641.8,1890,216.8,3784081,0.997333035,8324.73884,2.03193E-08,0.244998203,0,,,,,,,,,,
24/01/2021,Johor,378,2045,6680,0,W.P. Labuan,100100,703,2645,325,3783703,0.997233409,6661.519171,2.78139E-08,0.032934132,0,,,,,,,,,,
25/01/2021,Johor,529,220,6987,0,W.P. Putrajaya,116100,755.6,2580,226.6,3783174,0.997093986,6966.695677,2.85854E-08,0.104909117,0,,,,,,,,,,
26/01/2021,Johor,516,733,6770,0,,,856.4,5345,340.4,3782658,0.996957989,6749.405582,3.34419E-08,0.002658789,0,,,,,,,,,,
27/01/2021,Johor,1069,18,7820,0,,,856.2,3585,-212.8,3781589,0.996676243,7794.008218,2.8953E-08,0.050383632,0,,,,,,,,,,
28/01/2021,Johor,717,394,8143,0,Klang Valley,8417800,854.4,3420,137.4,3780872,0.99648727,8114.39584,2.77514E-08,0.105243768,0,,,,,,,,,,
29/01/2021,Johor,684,857,7970,0,,,910.4,3960,226.4,3780188,0.996306995,7940.566749,3.02176E-08,0.147051443,0,,,,,,,,,,
30/01/2021,Johor,792,1172,7589,0,,,884.8,5100,92.8,3779396,0.996098255,7559.389659,3.08488E-08,0.078666491,0,,,,,,,,,,
31/01/2021,Johor,1020,597,8009,0,,,800.4,5340,-219.6,3778376,0.995829424,7975.597856,2.64499E-08,0.097015857,0,,,,,,,,,,
01/02/2021,Johor,1068,777,8300,0,,,703.8,3540,-364.2,3777308,0.995547942,8263.047915,2.24486E-08,0.101084337,0,,,,,,,,,,
02/02/2021,Johor,708,839,8167,0,,,662,4820,-46,3776600,0.995361341,8129.116072,2.14632E-08,0.057303784,0,,,,,,,,,,
03/02/2021,Johor,964,468,8662,0,,,567.2,3320,-396.8,3775636,0.995107269,8619.619164,1.73431E-08,0.010967444,0,,,,,,,,,,
04/02/2021,Johor,664,95,9226,0,,,538.6,2990,-125.4,3774972,0.994932265,9179.245077,1.54646E-08,0.006936917,0,,,,,,,,,,
05/02/2021,Johor,598,64,9759,0,,,492.8,2925,-105.2,3774374,0.994774656,9708.005868,1.33789E-08,0.011169177,0,,,,,,,,,,
06/02/2021,Johor,585,109,10235,0,,,531.2,2495,-53.8,3773789,0.994620473,10179.94054,1.37528E-08,0.016511969,0,,,,,,,,,,
07/02/2021,Johor,499,169,10562,0,,,579.8,2450,80.8,3773290,0.994488957,10503.79236,1.45483E-08,0.031338762,0,,,,,,,,,,
08/02/2021,Johor,490,331,10718,0,,,642.2,2605,152.2,3772800,0.994359812,10657.54847,1.58815E-08,0.034428065,0,,,,,,,,,,
09/02/2021,Johor,521,369,10867,0,,,636.4,1845,115.4,3772279,0.994222497,10804.21588,1.55245E-08,0.006533542,0,,,,,,,,,,
10/02/2021,Johor,369,71,11165,0,,,616.4,3885,247.4,3771910,0.994125244,11099.40835,1.46367E-08,0.027586207,0,,,,,,,,,,
11/02/2021,Johor,777,308,11634,0,,,551.2,3710,-225.8,3771133,0.993920458,11563.2706,1.25634E-08,0.139676809,0,,,,,,,,,,
12/02/2021,Johor,742,1625,10750,0,,,490,4010,-252,3770391,0.993724896,10682.54263,1.20893E-08,0.118511628,0,,,,,,,,,,
13/02/2021,Johor,802,1274,10277,0,,,414.8,2460,-387.2,3769589,0.993513521,10210.33845,1.07073E-08,0.007005936,0,,,,,,,,,,
14/02/2021,Johor,492,72,10696,0,,,462.4,1345,-29.6,3769097,0.993383849,10625.23365,1.14699E-08,0.003833209,0,,,,,,,,,,
15/02/2021,Johor,269,41,10924,0,,,455.2,2255,186.2,3768828,0.993312951,10850.95068,1.10564E-08,0.009611864,0,,,,,,,,,,
16/02/2021,Johor,451,105,11268,0,,,451.2,2180,0.2,3768377,0.993194086,11191.31096,1.0626E-08,0.135072772,0,,,,,,,,,,
17/02/2021,Johor,436,1522,10181,0,,,406.2,2130,-29.8,3767941,0.993079173,10110.53907,1.05888E-08,0.245162558,0,,,,,,,,,,
18/02/2021,Johor,426,2496,8111,0,,,406.6,3650,-19.4,3767515,0.992966897,8053.9545,1.33057E-08,0.137344347,0,,,,,,,,,,
19/02/2021,Johor,730,1114,7727,0,,,324.2,1165,-405.8,3766785,0.992774498,7671.168545,1.11386E-08,0.065096415,0,,,,,,,,,,
20/02/2021,Johor,233,503,7457,0,,,329,2155,96,3766552,0.992713088,7402.6615,1.17135E-08,0.062491619,0,,,,,,,,,,
21/02/2021,Johor,431,466,7422,0,,,298,1055,-133,3766121,0.992599494,7367.073444,1.06611E-08,0.083400701,0,,,,,,,,,,
22/02/2021,Johor,211,619,7011,0,,,318.6,2140,107.6,3765910,0.992543883,6958.725162,1.20669E-08,0.154471545,0,,,,,,,,,,
23/02/2021,Johor,428,1083,6356,0,,,301,1590,-127,3765482,0.992431079,6307.891938,1.25766E-08,0.081497797,0,,,,,,,,,,
24/02/2021,Johor,318,518,6156,0,,,335.4,1285,17.4,3765164,0.992347267,6108.889775,1.44704E-08,0.130604288,0,,,,,,,,,,
25/02/2021,Johor,257,804,5609,0,,,316.6,1380,59.6,3764907,0.992279532,5565.695895,1.49924E-08,0.128543412,0,,,,,,,,,,
26/02/2021,Johor,276,721,5164,0,,,336.6,1570,60.6,3764631,0.992206789,5123.75586,1.73143E-08,0.158791634,0,,,,,,,,,,
27/02/2021,Johor,314,820,4656,0,,,324.8,1700,10.8,3764317,0.992124031,4619.32949,1.85318E-08,0.112113402,0,,,,,,,,,,
28/02/2021,Johor,340,522,4474,0,,,349.4,2450,9.4,3763977,0.992034421,4438.361999,2.07482E-08,0.054984354,0,,,,,,,,,,
01/03/2021,Johor,490,246,4718,0,,,279.2,815,-210.8,3763487,0.991905276,4679.809094,1.57241E-08,0.091988131,0,,,,,,,,,,
02/03/2021,Johor,163,434,4447,0,,,278.2,1880,115.2,3763324,0.991862316,4410.81172,1.66233E-08,0.088599056,0,,,,,,,,,,
