date,state,Beta,Gamma,v_t
01/01/2021,Johor,3.66354E-08,0.010155721,0
02/01/2021,Johor,3.8781E-08,0.045117076,0
03/01/2021,Johor,4.03325E-08,0.0422935,0
04/01/2021,Johor,3.88418E-08,0.068974918,0
05/01/2021,Johor,3.5609E-08,0.008847255,0
06/01/2021,Johor,2.91606E-08,0.013936486,0
07/01/2021,Johor,1.71282E-08,0.07622739,0
08/01/2021,Johor,1.9859E-08,0.011880068,0
09/01/2021,Johor,2.05121E-08,0.008301751,0
10/01/2021,Johor,2.14893E-08,0.026139295,0
11/01/2021,Johor,2.34395E-08,0.030533091,0
12/01/2021,Johor,2.18301E-08,0.021226042,0
13/01/2021,Johor,1.89095E-08,0.026064939,0
14/01/2021,Johor,1.74477E-08,0.017431062,0
15/01/2021,Johor,1.6017E-08,0.022669006,0
16/01/2021,Johor,1.29545E-08,0.020356874,0
17/01/2021,Johor,1.33131E-08,0.030648523,0
18/01/2021,Johor,1.38072E-08,0.011296004,0
19/01/2021,Johor,1.34291E-08,0.012228101,0
20/01/2021,Johor,1.32325E-08,0.065403699,0
21/01/2021,Johor,1.40382E-08,0.003673938,0
22/01/2021,Johor,1.68641E-08,0.133355213,0
23/01/2021,Johor,2.03193E-08,0.244998203,0
24/01/2021,Johor,2.78139E-08,0.032934132,0
25/01/2021,Johor,2.85854E-08,0.104909117,0
26/01/2021,Johor,3.34419E-08,0.002658789,0
27/01/2021,Johor,2.8953E-08,0.050383632,0
28/01/2021,Johor,2.77514E-08,0.105243768,0
29/01/2021,Johor,3.02176E-08,0.147051443,0
30/01/2021,Johor,3.08488E-08,0.078666491,0
31/01/2021,Johor,2.64499E-08,0.097015857,0
01/02/2021,Johor,2.24486E-08,0.101084337,0
02/02/2021,Johor,2.14632E-08,0.057303784,0
03/02/2021,Johor,1.73431E-08,0.010967444,0
04/02/2021,Johor,1.54646E-08,0.006936917,0
05/02/2021,Johor,1.33789E-08,0.011169177,0
06/02/2021,Johor,1.37528E-08,0.016511969,0
07/02/2021,Johor,1.45483E-08,0.031338762,0
08/02/2021,Johor,1.58815E-08,0.034428065,0
09/02/2021,Johor,1.55245E-08,0.006533542,0
10/02/2021,Johor,1.46367E-08,0.027586207,0
11/02/2021,Johor,1.25634E-08,0.139676809,0
12/02/2021,Johor,1.20893E-08,0.118511628,0
13/02/2021,Johor,1.07073E-08,0.007005936,0
14/02/2021,Johor,1.14699E-08,0.003833209,0
15/02/2021,Johor,1.10564E-08,0.009611864,0
16/02/2021,Johor,1.0626E-08,0.135072772,0
17/02/2021,Johor,1.05888E-08,0.245162558,0
18/02/2021,Johor,1.33057E-08,0.137344347,0
19/02/2021,Johor,1.11386E-08,0.065096415,0
20/02/2021,Johor,1.17135E-08,0.062491619,0
21/02/2021,Johor,1.06611E-08,0.083400701,0
22/02/2021,Johor,1.20669E-08,0.154471545,0
23/02/2021,Johor,1.25766E-08,0.081497797,0
24/02/2021,Johor,1.44704E-08,0.130604288,0
25/02/2021,Johor,1.49924E-08,0.128543412,0
26/02/2021,Johor,1.73143E-08,0.158791634,0
27/02/2021,Johor,1.85318E-08,0.112113402,0
28/02/2021,Johor,2.07482E-08,0.054984354,0
01/03/2021,Johor,1.57241E-08,0.091988131,0
02/03/2021,Johor,1.66233E-08,0.088599056,0
03/03/2021,Johor,1.36205E-08,0.086023933,2.65749E-07
04/03/2021,Johor,1.29085E-08,0.177782942,7.97301E-07
05/03/2021,Johor,1.13629E-08,0.058,0
06/03/2021,Johor,1.20557E-08,0.08369593,2.6581E-07
07/03/2021,Johor,1.22741E-08,0.043338684,2.65821E-07
08/03/2021,Johor,1.21473E-08,0.106388738,2.65829E-07
09/03/2021,Johor,1.2279E-08,0.096997691,2.65841E-07
10/03/2021,Johor,1.00841E-08,0.064098794,5.3172E-07
11/03/2021,Johor,8.97874E-09,0.089200477,0
12/03/2021,Johor,1.00081E-08,0.102885822,0
13/03/2021,Johor,1.15159E-08,0.097635135,2.65889E-07
14/03/2021,Johor,1.25139E-08,0.186246418,0
15/03/2021,Johor,1.48863E-08,0.064853556,0
16/03/2021,Johor,1.64395E-08,0.143594153,2.65912E-07
17/03/2021,Johor,1.56527E-08,0.093475243,9.30735E-06
18/03/2021,Johor,1.65813E-08,0.212279867,1.14352E-05
19/03/2021,Johor,1.93819E-08,0.079799107,0
20/03/2021,Johor,1.94943E-08,0.066891512,0
21/03/2021,Johor,1.86366E-08,0.099389228,0.000197079
22/03/2021,Johor,1.95075E-08,0.15582894,0.000481936
23/03/2021,Johor,2.12851E-08,0.056179775,0.000177143
24/03/2021,Johor,2.18671E-08,0.11900425,0.00064077
25/03/2021,Johor,2.1684E-08,0.100632911,0.000613128
26/03/2021,Johor,2.10597E-08,0.072031149,0.000107733
27/03/2021,Johor,2.44359E-08,0.126406353,0.000178495
28/03/2021,Johor,2.20858E-08,0.066176471,0.000301939
29/03/2021,Johor,1.80981E-08,0.024888322,0.000665627
30/03/2021,Johor,1.7452E-08,0.098027127,0.000633985
31/03/2021,Johor,1.721E-08,0.09360878,0.000391095
01/04/2021,Johor,1.47191E-08,0.078393881,0.000588264
02/04/2021,Johor,1.48752E-08,0.091672046,0.000193699
03/04/2021,Johor,1.61182E-08,0.102081934,0.000412684
04/04/2021,Johor,1.70694E-08,0.057302586,0.000310252
05/04/2021,Johor,1.83456E-08,0.158831909,0.000401258
06/04/2021,Johor,1.88491E-08,0.11336982,0.000402333
07/04/2021,Johor,1.774E-08,0.049352751,0.00027089
08/04/2021,Johor,1.60708E-08,0.08,0.000306822
09/04/2021,Johor,1.52662E-08,0.05799373,1.06446E-06
10/04/2021,Johor,1.94297E-08,0.141965679,0.000106981
11/04/2021,Johor,2.38076E-08,0.160239931,3.40641E-05
12/04/2021,Johor,2.86837E-08,0.053794428,0.000141581
13/04/2021,Johor,4.39286E-08,0.10292729,1.14438E-05
14/04/2021,Johor,4.66326E-08,0.139399806,0.000327087
15/04/2021,Johor,4.10041E-08,0.0821662,0.000313529
16/04/2021,Johor,4.21424E-08,0.070652174,1.33081E-05
17/04/2021,Johor,4.45822E-08,0.095026643,2.12936E-06
18/04/2021,Johor,2.5976E-08,0.039118065,0.000339667
