date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,New_Infections,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta=New_inf * N/IS,gamma=Rt+1/I_t,v_t = V/S,,,,,,,,,,,,date,line_state_number,line_Cases_new,Line_cases_new_Asymptomatic,line_cases_new_symptomatic,line_state,,
01/01/2021,Johor,112,31,2954,0,,,318.8,2900,206.8,3794088,0.999970481,2953.912802,0.107924648,0.010155721,0,,INF,E,DE,S,SN,,BETA,GAMMA,V_T,,01/01/2021,1,112,73,39,Johor,,
02/01/2021,Johor,580,30,3502,0,,,410.6,895,-169.4,3793508,0.999817616,3501.361292,0.117268675,0.045117076,0,MIN,0.2,0,-1688.2,90977,0.884939208,,#DIV/0!,#DIV/0!,0,,02/01/2021,1,580,493,87,Johor,,
03/01/2021,Johor,179,158,3523,0,,N,515.2,1475,336.2,3793329,0.999770439,3522.191257,0.146272579,0.0422935,0,MAX,7873.4,43960,1891.6,6554324,1,,#DIV/0!,#DIV/0!,0.038864379,,03/01/2021,1,179,105,74,Johor,,
04/01/2021,Johor,295,149,3668,0,,32600000,539,2140,244,3793034,0.999692689,3666.872783,0.146991737,0.068974918,0,,,,,,,,,,,,04/01/2021,1,295,193,102,Johor,,
05/01/2021,Johor,428,253,3843,0,Malaysia,32657100,540.4,2855,112.4,3792606,0.999579885,3841.385498,0.140678409,0.008847255,0,,,,,,,,,,,,05/01/2021,1,428,351,77,Johor,,
06/01/2021,Johor,571,34,4377,0,,delta,519,5515,-52,3792035,0.999429392,4374.50245,0.118642064,0.013936486,0,,Order of Github,,Order for LineListing,,,,,,,,06/01/2021,1,571,504,67,Johor,,
07/01/2021,Johor,1103,61,5418,0,,0.2,484,1490,-619,3790932,0.999138685,5413.333397,0.089408866,0.07622739,0,,Johor,,Johor,1,,,,,,,07/01/2021,1,1103,1006,97,Johor,,
08/01/2021,Johor,298,413,5303,0,,1/delta,351.8,1510,53.8,3790634,0.999060144,5298.015946,0.066402216,0.011880068,0,,Kedah,,Kedah,2,,,,,,,08/01/2021,1,298,172,126,Johor,,
09/01/2021,Johor,302,63,5541,0,,5,399.2,1605,97.2,3790332,0.998980549,5535.351223,0.072118278,0.008301751,0,,Kelantan,,Kelantan,3,,,,,,,09/01/2021,1,302,226,76,Johor,,
10/01/2021,Johor,321,46,5815,0,Johor,3794200,430.8,1980,109.8,3790011,0.998895946,5808.579929,0.074166148,0.026139295,0,,Melaka,,Melaka,4,,,,,,,10/01/2021,1,321,238,83,Johor,,
11/01/2021,Johor,396,152,6059,0,Kedah,2193600,473.6,2210,77.6,3789615,0.998791577,6051.678163,0.078259284,0.030533091,0,,Negeri Sembilan,,Negeri Sembilan,5,,,,,,,11/01/2021,1,396,304,92,Johor,,
12/01/2021,Johor,442,185,6313,0,Kelantan,1928900,538.2,2675,96.2,3789173,0.998675083,6304.635799,0.085365756,0.021226042,0,,Pahang,,Pahang,6,,,,,,,12/01/2021,1,442,373,69,Johor,,
13/01/2021,Johor,535,134,6714,0,Melaka,937800,522.2,2300,-12.8,3788638,0.998534078,6704.157802,0.077891961,0.026064939,0,,Perak,,Pulau Pinang,7,,,,,,,13/01/2021,1,535,454,81,Johor,,
14/01/2021,Johor,460,175,6999,0,Negeri Sembilan,1128900,481,2675,21,3788178,0.998412841,6987.891472,0.068833353,0.017431062,0,,Perlis,,Perak,8,,,,,,,14/01/2021,1,460,338,122,Johor,,
15/01/2021,Johor,535,122,7411,0,Pahang,1684700,462.6,3595,-72.4,3787643,0.998271836,7398.192576,0.062528786,0.022669006,0,,Pulau Pinang,,Perlis,9,,,,,,,15/01/2021,1,535,419,116,Johor,,
16/01/2021,Johor,719,168,7958,0,Perak,2509000,449.6,1810,-269.4,3786924,0.998082336,7942.739231,0.056605157,0.020356874,0,,Sabah,,Selangor,10,,,,,,,16/01/2021,1,719,557,162,Johor,,
17/01/2021,Johor,362,162,8157,0,Perlis,255500,390.4,1645,28.4,3786562,0.997986927,8140.579367,0.047957275,0.030648523,0,,Sarawak,,Terengganu,11,,,,,,,17/01/2021,1,362,222,140,Johor,,
18/01/2021,Johor,329,250,8233,0,Pulau Pinang,1774200,411.2,1840,82.2,3786233,0.997900216,8215.712479,0.050050437,0.011296004,0,,Selangor,,Sabah,12,,,,,,,18/01/2021,1,329,188,141,Johor,,
19/01/2021,Johor,368,93,8505,0,Sabah,3832500,430.4,2350,62.4,3785865,0.997803226,8486.316437,0.05071694,0.012228101,0,,Terengganu,,Sarawak,13,,,,,,,19/01/2021,1,368,225,143,Johor,,
20/01/2021,Johor,470,104,8868,0,Sarawak,2824700,432.4,2115,-37.6,3785395,0.997679353,8847.4205,0.048873002,0.065403699,0,,W.P. Kuala Lumpur,,W.P. Kuala Lumpur,14,,,,,,,20/01/2021,1,470,318,152,Johor,,
21/01/2021,Johor,423,580,8710,0,Selangor,6555100,444.2,2330,21.2,3784972,0.997567867,8688.816119,0.05112319,0.003673938,0,,W.P. Labuan,,W.P. Labuan,15,,,,,,,21/01/2021,1,423,270,153,Johor,,
22/01/2021,Johor,466,32,9141,0,Terengganu,1275200,462.8,2125,-3.2,3784506,0.997445048,9117.645181,0.05075872,0.133355213,0,,W.P. Putrajaya,,W.P. Putrajaya,16,,,,,,,22/01/2021,1,466,287,179,Johor,,
23/01/2021,Johor,425,1219,8347,0,W.P. Kuala Lumpur,1746600,583.4,1890,158.4,3784081,0.997333035,8324.73884,0.070080277,0.244998203,0,,,,,,,,,,,,23/01/2021,1,425,322,103,Johor,,
24/01/2021,Johor,378,2045,6680,0,W.P. Labuan,100100,641.8,2645,263.8,3783703,0.997233409,6661.519171,0.09634439,0.032934132,0,,,,,,,,,,,,24/01/2021,1,378,182,196,Johor,,
25/01/2021,Johor,529,220,6987,0,W.P. Putrajaya,116100,703,2580,174,3783174,0.997093986,6966.695677,0.100908671,0.104909117,0,,,,,,,,,,,,25/01/2021,1,529,313,216,Johor,,
26/01/2021,Johor,516,733,6770,0,,,755.6,5345,239.6,3782658,0.996957989,6749.405582,0.111950599,0.002658789,0,,,,,,,,,,,,26/01/2021,1,516,324,192,Johor,,
27/01/2021,Johor,1069,18,7820,0,,,856.4,3585,-212.6,3781589,0.996676243,7794.008218,0.109879279,0.050383632,0,,,,,,,,,,,,27/01/2021,1,1069,792,277,Johor,,
28/01/2021,Johor,717,394,8143,0,Klang Valley,8417800,856.2,3420,139.2,3780872,0.99648727,8114.39584,0.105516174,0.105243768,0,,,,,,,,,,,,28/01/2021,1,717,347,370,Johor,,
29/01/2021,Johor,684,857,7970,0,,,854.4,3960,170.4,3780188,0.996306995,7940.566749,0.107599373,0.147051443,0,,,,,,,,,,,,29/01/2021,1,684,400,284,Johor,,
30/01/2021,Johor,792,1172,7589,0,,,910.4,5100,118.4,3779396,0.996098255,7559.389659,0.120433003,0.078666491,0,,,,,,,,,,,,30/01/2021,1,792,470,322,Johor,,
31/01/2021,Johor,1020,597,8009,0,,,884.8,5340,-135.2,3778376,0.995829424,7975.597856,0.110938392,0.097015857,0,,,,,,,,,,,,31/01/2021,1,1020,816,204,Johor,,
