date,state,cases_new,cases_recovered,cases_active,daily_full,FIXED,FIXED2,new_exposed_over,new_exposed_under,new_exposed,E= NewCt+1 / delta,dE = NewInf-NewC,S,S/N,S/N * I,beta_new,gamma_new,v_t = V/S,,,,,,,,,,,,date,line_state_number,line_Cases_new,Line_cases_new_Asymptomatic,line_cases_new_symptomatic,line_state,line_p_symp,
1/1/2021,Johor,112,31,2954,0,,,553,450.3333333,501.6666667,3480,389.6666667,3794088,0.999970481,2953.912802,0.169831238,0.010155721,0,,INF,E,DE,S,SN,,BETA,GAMMA,V_T,,01/01/2021,1,112,73,39,Johor,0.348214286,
1/2/2021,Johor,580,30,3502,0,,,569.8333333,432.5,501.1666667,1074,-78.83333333,3793508,0.999817616,3501.361292,0.143134805,0.045117076,0,MIN,0,0,-3016.333333,90977,0.884939208,,#DIV/0!,#DIV/0!,0,,02/01/2021,1,580,493,87,Johor,0.15,
1/3/2021,Johor,179,158,3523,0,,N,572.1666667,403.3333333,487.75,1770,308.75,3793329,0.999770439,3522.191257,0.138479135,0.0422935,0,MAX,7525.833333,52752,2805.5,6554324,1,,#DIV/0!,#DIV/0!,0.038864379,,03/01/2021,1,179,105,74,Johor,0.413407821,
1/4/2021,Johor,295,149,3668,0,,32600000,566.1666667,293.1666667,429.6666667,2568,134.6666667,3793034,0.999692689,3666.872783,0.117175231,0.068974918,0,,,,,,,,,,,,04/01/2021,1,295,193,102,Johor,0.345762712,
1/5/2021,Johor,428,253,3843,0,Malaysia,32657100,459,332.6666667,395.8333333,3426,-32.16666667,3792606,0.999579885,3841.385498,0.103044418,0.008847255,0,,,,,,,,,,,,05/01/2021,1,428,351,77,Johor,0.179906542,
1/6/2021,Johor,571,34,4377,0,,delta,498.5,359,428.75,6618,-142.25,3792035,0.999429392,4374.50245,0.098011146,0.013936486,0,,Order of Github,,Order for LineListing,,,,,,,,06/01/2021,1,571,504,67,Johor,0.117338004,
1/7/2021,Johor,1103,61,5418,0,,0.17,568,394.6666667,481.3333333,1788,-621.6666667,3790932,0.999138685,5413.333397,0.088916255,0.07622739,0,,Johor,,Johor,1,,,,,,,07/01/2021,1,1103,1006,97,Johor,0.087941976,
1/8/2021,Johor,298,413,5303,0,,1/delta,574.8333333,448.5,511.6666667,1812,213.6666667,3790634,0.999060144,5298.015946,0.096577034,0.011880068,0,,Kedah,,Kedah,2,,,,,,,08/01/2021,1,298,172,126,Johor,0.422818792,
1/9/2021,Johor,302,63,5541,0,,6,563.6666667,435.1666667,499.4166667,1926,197.4166667,3790332,0.998980549,5535.351223,0.090223122,0.008301751,0,,Kelantan,,Kelantan,3,,,,,,,09/01/2021,1,302,226,76,Johor,0.251655629,
1/10/2021,Johor,321,46,5815,0,Johor,3794200,551.3333333,400.8333333,476.0833333,2376,155.0833333,3790011,0.998895946,5808.579929,0.081962087,0.026139295,0,,Melaka,,Melaka,4,,,,,,,10/01/2021,1,321,238,83,Johor,0.258566978,
1/11/2021,Johor,396,152,6059,0,Kedah,2193600,540.5,385.5,463,2652,67,3789615,0.998791577,6051.678163,0.076507704,0.030533091,0,,Negeri Sembilan,,Negeri Sembilan,5,,,,,,,11/01/2021,1,396,304,92,Johor,0.232323232,
1/12/2021,Johor,442,185,6313,0,Kelantan,1928900,534.3333333,374.6666667,454.5,3210,12.5,3789173,0.998675083,6304.635799,0.07208981,0.021226042,0,,Pahang,,Pahang,6,,,,,,,12/01/2021,1,442,373,69,Johor,0.156108597,
1/13/2021,Johor,535,134,6714,0,Melaka,937800,522.8333333,325.3333333,424.0833333,2760,-110.9166667,3788638,0.998534078,6704.157802,0.063256765,0.026064939,0,,Perak,,Pulau Pinang,7,,,,,,,13/01/2021,1,535,454,81,Johor,0.151401869,
1/14/2021,Johor,460,175,6999,0,Negeri Sembilan,1128900,473.8333333,342.6666667,408.25,3210,-51.75,3788178,0.998412841,6987.891472,0.058422487,0.017431062,0,,Perlis,,Perak,8,,,,,,,14/01/2021,1,460,338,122,Johor,0.265217391,
1/15/2021,Johor,535,122,7411,0,Pahang,1684700,476.5,358.6666667,417.5833333,4314,-117.4166667,3787643,0.998271836,7398.192576,0.056443966,0.022669006,0,,Pulau Pinang,,Perlis,9,,,,,,,15/01/2021,1,535,419,116,Johor,0.21682243,
1/16/2021,Johor,719,168,7958,0,Perak,2509000,509.8333333,360.3333333,435.0833333,2172,-283.9166667,3786924,0.998082336,7942.739231,0.054777492,0.020356874,0,,Sabah,,Selangor,10,,,,,,,16/01/2021,1,719,557,162,Johor,0.225312935,
1/17/2021,Johor,362,162,8157,0,Perlis,255500,534.5,370.1666667,452.3333333,1974,90.33333333,3786562,0.997986927,8140.579367,0.055565251,0.030648523,0,,Sarawak,,Terengganu,11,,,,,,,17/01/2021,1,362,222,140,Johor,0.386740331,
1/18/2021,Johor,329,250,8233,0,Pulau Pinang,1774200,634.3333333,385.6666667,510,2208,181,3786233,0.997900216,8215.712479,0.062076174,0.011296004,0,,Selangor,,Sabah,12,,,,,,,18/01/2021,1,329,188,141,Johor,0.428571429,
1/19/2021,Johor,368,93,8505,0,Sabah,3832500,683.3333333,486.1666667,584.75,2820,216.75,3785865,0.997803226,8486.316437,0.068905043,0.012228101,0,,Terengganu,,Sarawak,13,,,,,,,19/01/2021,1,368,225,143,Johor,0.388586957,
1/20/2021,Johor,470,104,8868,0,Sarawak,2824700,719.6666667,534.8333333,627.25,2538,157.25,3785395,0.997679353,8847.4205,0.07089637,0.065403699,0,,W.P. Kuala Lumpur,,W.P. Kuala Lumpur,14,,,,,,,20/01/2021,1,470,318,152,Johor,0.323404255,
1/21/2021,Johor,423,580,8710,0,Selangor,6555100,780.8333333,585.8333333,683.3333333,2796,260.3333333,3784972,0.997567867,8688.816119,0.07864516,0.003673938,0,,W.P. Labuan,,W.P. Labuan,15,,,,,,,21/01/2021,1,423,270,153,Johor,0.361702128,
1/22/2021,Johor,466,32,9141,0,Terengganu,1275200,887.8333333,629.6666667,758.75,2550,292.75,3784506,0.997445048,9117.645181,0.083217759,0.133355213,0,,W.P. Putrajaya,,W.P. Putrajaya,16,,,,,,,22/01/2021,1,466,287,179,Johor,0.384120172,
1/23/2021,Johor,425,1219,8347,0,W.P. Kuala Lumpur,1746600,977.6666667,713.6666667,845.6666667,2268,420.6666667,3784081,0.997333035,8324.73884,0.101584768,0.244998203,0,,,,,,,,,,,,23/01/2021,1,425,322,103,Johor,0.242352941,
1/24/2021,Johor,378,2045,6680,0,W.P. Labuan,100100,1009.666667,713.5,861.5833333,3174,483.5833333,3783703,0.997233409,6661.519171,0.129337365,0.032934132,0,,,,,,,,,,,,24/01/2021,1,378,182,196,Johor,0.518518519,
1/25/2021,Johor,529,220,6987,0,W.P. Putrajaya,116100,992.1666667,712,852.0833333,3096,323.0833333,3783174,0.997093986,6966.695677,0.122308103,0.104909117,0,,,,,,,,,,,,25/01/2021,1,529,313,216,Johor,0.40831758,
1/26/2021,Johor,516,733,6770,0,,,983.3333333,758.6666667,871,6414,355,3782658,0.996957989,6749.405582,0.129048401,0.002658789,0,,,,,,,,,,,,26/01/2021,1,516,324,192,Johor,0.372093023,
1/27/2021,Johor,1069,18,7820,0,,,969,737.3333333,853.1666667,4302,-215.8333333,3781589,0.996676243,7794.008218,0.10946443,0.050383632,0,,,,,,,,,,,,27/01/2021,1,1069,792,277,Johor,0.259120674,
1/28/2021,Johor,717,394,8143,0,Klang Valley,8417800,934.5,667,800.75,4104,83.75,3780872,0.99648727,8114.39584,0.09868264,0.105243768,0,,,,,,,,,,,,28/01/2021,1,717,347,370,Johor,0.516039052,
1/29/2021,Johor,684,857,7970,0,,,847.6666667,586.5,717.0833333,4752,33.08333333,3780188,0.996306995,7940.566749,0.090306316,0.147051443,0,,,,,,,,,,,,29/01/2021,1,684,400,284,Johor,0.415204678,
1/30/2021,Johor,792,1172,7589,0,,,751.3333333,551.6666667,651.5,6120,-140.5,3779396,0.996098255,7559.389659,0.086184207,0.078666491,0,,,,,,,,,,,,30/01/2021,1,792,470,322,Johor,0.406565657,
1/31/2021,Johor,1020,597,8009,0,,,720.1666667,472.6666667,596.4166667,6408,-423.5833333,3778376,0.995829424,7975.597856,0.074780183,0.097015857,0,,,,,,,,,,,,31/01/2021,1,1020,816,204,Johor,0.2,
2/1/2021,Johor,1068,777,8300,0,,,621,448.8333333,534.9166667,4248,-533.0833333,3777308,0.995547942,8263.047915,0.064736,0.101084337,0,,,,,,,,,,,,01/02/2021,1,1068,769,299,Johor,0.279962547,
2/2/2021,Johor,708,839,8167,0,,,639.8333333,410.6666667,525.25,5784,-182.75,3776600,0.995361341,8129.116072,0.064613421,0.057303784,0,,,,,,,,,,,,02/02/2021,1,708,478,230,Johor,0.324858757,
2/3/2021,Johor,964,468,8662,0,,,663.8333333,442.6666667,553.25,3984,-410.75,3775636,0.995107269,8619.619164,0.06418497,0.010967444,0,,,,,,,,,,,,03/02/2021,1,964,884,80,Johor,0.082987552,
2/4/2021,Johor,664,95,9226,0,,,700,483.1666667,591.5833333,3588,-72.41666667,3774972,0.994932265,9179.245077,0.064447929,0.006936917,0,,,,,,,,,,,,04/02/2021,1,664,505,159,Johor,0.239457831,
2/5/2021,Johor,598,64,9759,0,,,698.8333333,535.1666667,617,3510,19,3774374,0.994774656,9708.005868,0.063555792,0.011169177,0,,,,,,,,,,,,05/02/2021,1,598,468,130,Johor,0.217391304,
2/6/2021,Johor,585,109,10235,0,,,662,530.3333333,596.1666667,2994,11.16666667,3773789,0.994620473,10179.94054,0.058562883,0.016511969,0,,,,,,,,,,,,06/02/2021,1,585,356,229,Johor,0.391452991,
2/7/2021,Johor,499,169,10562,0,,,650.3333333,513.6666667,582,2940,83,3773290,0.994488957,10503.79236,0.055408559,0.031338762,0,,,,,,,,,,,,07/02/2021,1,499,370,129,Johor,0.258517034,
2/8/2021,Johor,490,331,10718,0,,,661.5,459.3333333,560.4166667,3126,70.41666667,3772800,0.994359812,10657.54847,0.052584013,0.034428065,0,,,,,,,,,,,,08/02/2021,1,490,365,125,Johor,0.255102041,
2/9/2021,Johor,521,369,10867,0,,,603,408.3333333,505.6666667,2214,-15.33333333,3772279,0.994222497,10804.21588,0.046802718,0.006533542,0,,,,,,,,,,,,09/02/2021,1,521,405,116,Johor,0.222648752,
2/10/2021,Johor,369,71,11165,0,,,601,345.6666667,473.3333333,4662,104.3333333,3771910,0.994125244,11099.40835,0.042644916,0.027586207,0,,,,,,,,,,,,10/02/2021,1,369,197,172,Johor,0.466124661,
2/11/2021,Johor,777,308,11634,0,,,506.1666667,385.3333333,445.75,4452,-331.25,3771133,0.993920458,11563.2706,0.038548782,0.139676809,0,,,,,,,,,,,,11/02/2021,1,777,602,175,Johor,0.225225225,
2/12/2021,Johor,742,1625,10750,0,,,496,379.3333333,437.6666667,4812,-304.3333333,3770391,0.993724896,10682.54263,0.040970271,0.118511628,0,,,,,,,,,,,,12/02/2021,1,742,587,155,Johor,0.208894879,
2/13/2021,Johor,802,1274,10277,0,,,486.3333333,376,431.1666667,2952,-370.8333333,3769589,0.993513521,10210.33845,0.04222844,0.007005936,0,,,,,,,,,,,,13/02/2021,1,802,609,193,Johor,0.240648379,
2/14/2021,Johor,492,72,10696,0,,,482.5,338.5,410.5,1614,-81.5,3769097,0.993383849,10625.23365,0.038634445,0.003833209,0,,,,,,,,,,,,14/02/2021,1,492,390,102,Johor,0.207317073,
2/15/2021,Johor,269,41,10924,0,,,462.8333333,338.8333333,400.8333333,2706,131.8333333,3768828,0.993312951,10850.95068,0.036939928,0.009611864,0,,,,,,,,,,,,15/02/2021,1,269,178,91,Johor,0.338289963,
2/16/2021,Johor,451,105,11268,0,,,434.6666667,270.1666667,352.4166667,2616,-98.58333333,3768377,0.993194086,11191.31096,0.031490204,0.135072772,0,,,,,,,,,,,,16/02/2021,1,451,371,80,Johor,0.177383592,
2/17/2021,Johor,436,1522,10181,0,,,359,274.1666667,316.5833333,2556,-119.4166667,3767941,0.993079173,10110.53907,0.031312211,0.245162558,0,,,,,,,,,,,,17/02/2021,1,436,309,127,Johor,0.291284404,
2/18/2021,Johor,426,2496,8111,0,,,372.5,248.3333333,310.4166667,4380,-115.5833333,3767515,0.992966897,8053.9545,0.038542143,0.137344347,0,,,,,,,,,,,,18/02/2021,1,426,283,143,Johor,0.335680751,
2/19/2021,Johor,730,1114,7727,0,,,357.3333333,265.5,311.4166667,1398,-418.5833333,3766785,0.992774498,7671.168545,0.040595727,0.065096415,0,,,,,,,,,,,,19/02/2021,1,730,672,58,Johor,0.079452055,
