p_value,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
0.193423598,3794200,2193600,1928900,937800,1128900,1684700,2509000,255500,1774200,3832500,2824700,6555100,1275200,1746600,100100,116100
0.234858388,,,,,,,,,,,,,,,,
0.310446009,,,,,,,,,,,,,,,,
0.316484779,,,,,,,,,,,,,,,,
0.296003947,,,,,,,,,,,,,,,,
0.187042036,,,,,,,,,,,,,,,,
0.323752891,,,,,,,,,,,,,,,,
0.517593644,,,,,,,,,,,,,,,,
0.294165647,,,,,,,,,,,,,,,,
0.29675298,,,,,,,,,,,,,,,,
0.294802867,,,,,,,,,,,,,,,,
0.278029616,,,,,,,,,,,,,,,,
0.273701843,,,,,,,,,,,,,,,,
0.271801019,,,,,,,,,,,,,,,,
0.250389287,,,,,,,,,,,,,,,,
0.301067262,,,,,,,,,,,,,,,,
0.292902066,,,,,,,,,,,,,,,,
0.311554749,,,,,,,,,,,,,,,,
0.336546406,,,,,,,,,,,,,,,,
0.334081836,,,,,,,,,,,,,,,,
0.398422713,,,,,,,,,,,,,,,,
0.393004682,,,,,,,,,,,,,,,,
0.342222222,,,,,,,,,,,,,,,,
0.415421399,,,,,,,,,,,,,,,,
0.355971129,,,,,,,,,,,,,,,,
0.407252441,,,,,,,,,,,,,,,,
0.379076087,,,,,,,,,,,,,,,,
0.450903762,,,,,,,,,,,,,,,,
0.301659389,,,,,,,,,,,,,,,,
0.314769553,,,,,,,,,,,,,,,,
0.286145715,,,,,,,,,,,,,,,,
0.306834362,,,,,,,,,,,,,,,,
0.279015919,,,,,,,,,,,,,,,,
0.219187675,,,,,,,,,,,,,,,,
0.30059068,,,,,,,,,,,,,,,,
0.33559422,,,,,,,,,,,,,,,,
0.230049389,,,,,,,,,,,,,,,,
0.19217368,,,,,,,,,,,,,,,,
0.229032258,,,,,,,,,,,,,,,,
0.25397974,,,,,,,,,,,,,,,,
0.228710462,,,,,,,,,,,,,,,,
0.23463357,,,,,,,,,,,,,,,,
0.22965642,,,,,,,,,,,,,,,,
0.196627608,,,,,,,,,,,,,,,,
0.262175325,,,,,,,,,,,,,,,,
0.261029412,,,,,,,,,,,,,,,,
0.174632353,,,,,,,,,,,,,,,,
0.214476318,,,,,,,,,,,,,,,,
