date,cases_new,cases_recovered,cases_active,daily_full,Cum_NewCases,Cum_Recovered,Cum_Vax,S=N-(I+R+V),v(t),,
2020-01-25,4,0,4,0,4,0,0,"32,599,996",0,,
2020-01-26,0,0,4,0,4,0,0,"32,599,996",0,,
2020-01-27,0,0,4,0,4,0,0,"32,599,996",0,,
2020-01-28,0,0,4,0,4,0,0,"32,599,996",0,,
2020-01-29,3,0,7,0,7,0,0,"32,599,993",0,,
2020-01-30,1,0,8,0,8,0,0,"32,599,992",0,,
2020-01-31,0,0,8,0,8,0,0,"32,599,992",0,,
2020-02-01,0,0,8,0,8,0,0,"32,599,992",0,,
2020-02-02,0,0,8,0,8,0,0,"32,599,992",0,,
2020-02-03,0,0,8,0,8,0,0,"32,599,992",0,,
2020-02-04,2,0,10,0,10,0,0,"32,599,990",0,,
2020-02-05,2,1,11,0,12,1,0,"32,599,987",0,,
2020-02-06,2,0,13,0,14,1,0,"32,599,985",0,,
2020-02-07,1,0,14,0,15,1,0,"32,599,984",0,,
2020-02-08,1,1,14,0,16,2,0,"32,599,982",0,,
2020-02-09,1,1,14,0,17,3,0,"32,599,980",0,,
2020-02-10,1,0,15,0,18,3,0,"32,599,979",0,,
2020-02-11,0,0,15,0,18,3,0,"32,599,979",0,,
2020-02-12,0,0,15,0,18,3,0,"32,599,979",0,,
2020-02-13,0,0,15,0,18,3,0,"32,599,979",0,,
2020-02-14,1,4,12,0,19,7,0,"32,599,974",0,,
2020-02-15,3,1,14,0,22,8,0,"32,599,970",0,,
2020-02-16,0,0,14,0,22,8,0,"32,599,970",0,,
2020-02-17,0,3,11,0,22,11,0,"32,599,967",0,,
2020-02-18,0,2,9,0,22,13,0,"32,599,965",0,,
2020-02-19,0,4,5,0,22,17,0,"32,599,961",0,,
2020-02-20,0,0,5,0,22,17,0,"32,599,961",0,,
2020-02-21,0,0,5,0,22,17,0,"32,599,961",0,,
2020-02-22,0,1,4,0,22,18,0,"32,599,960",0,,
2020-02-23,0,0,4,0,22,18,0,"32,599,960",0,,
2020-02-24,0,2,2,0,22,20,0,"32,599,958",0,,
2020-02-25,0,0,2,0,22,20,0,"32,599,958",0,,
2020-02-26,0,0,2,0,22,20,0,"32,599,958",0,,
2020-02-27,1,2,1,0,23,22,0,"32,599,955",0,,
2020-02-28,2,0,3,0,25,22,0,"32,599,953",0,,
2020-02-29,0,0,3,0,25,22,0,"32,599,953",0,,
2020-03-01,4,0,7,0,29,22,0,"32,599,949",0,,
2020-03-02,0,0,7,0,29,22,0,"32,599,949",0,,
2020-03-03,7,0,14,0,36,22,0,"32,599,942",0,,
2020-03-04,14,1,27,0,50,23,0,"32,599,927",0,,
2020-03-05,5,0,32,0,55,23,0,"32,599,922",0,,
2020-03-06,28,0,60,0,83,23,0,"32,599,894",0,,
2020-03-07,10,1,69,0,93,24,0,"32,599,883",0,,
2020-03-08,6,1,74,0,99,25,0,"32,599,876",0,,
2020-03-09,18,1,91,0,117,26,0,"32,599,857",0,,
2020-03-10,12,0,103,0,129,26,0,"32,599,845",0,,
2020-03-11,20,1,122,0,149,27,0,"32,599,824",0,,
2020-03-12,9,6,125,0,158,33,0,"32,599,809",0,,
2020-03-13,39,0,164,0,197,33,0,"32,599,770",0,,
2020-03-14,41,4,201,0,238,37,0,"32,599,725",0,,
2020-03-15,190,5,386,0,428,42,0,"32,599,530",0,,
2020-03-16,125,0,511,0,553,42,0,"32,599,405",0,,
2020-03-17,120,7,622,0,673,49,0,"32,599,278",0,,
2020-03-18,117,11,728,0,790,60,0,"32,599,150",0,,
2020-03-19,110,15,823,0,900,75,0,"32,599,025",0,,
2020-03-20,130,12,940,0,"1,030",87,0,"32,598,883",0,,
2020-03-21,153,27,"1,062",0,"1,183",114,0,"32,598,703",0,,
2020-03-22,123,25,"1,156",0,"1,306",139,0,"32,598,555",0,,
2020-03-23,212,20,"1,343",0,"1,518",159,0,"32,598,323",0,,
2020-03-24,106,24,"1,423",0,"1,624",183,0,"32,598,193",0,,
2020-03-25,172,16,"1,576",0,"1,796",199,0,"32,598,005",0,,
2020-03-26,235,16,"1,790",0,"2,031",215,0,"32,597,754",0,,
2020-03-27,130,44,"1,874",0,"2,161",259,0,"32,597,580",0,,
2020-03-28,159,61,"1,966",0,"2,320",320,0,"32,597,360",0,,
2020-03-29,150,68,"2,043",0,"2,470",388,0,"32,597,142",0,,
2020-03-30,156,90,"2,105",0,"2,626",478,0,"32,596,896",0,,
2020-03-31,140,58,"2,182",0,"2,766",536,0,"32,596,698",0,,
2020-04-01,142,108,"2,214",0,"2,908",644,0,"32,596,448",0,,
2020-04-02,208,122,"2,298",0,"3,116",766,0,"32,596,118",0,,
2020-04-03,217,60,"2,450",0,"3,333",826,0,"32,595,841",0,,
2020-04-04,150,88,"2,509",0,"3,483",914,0,"32,595,603",0,,
2020-04-05,179,90,"2,596",0,"3,662","1,004",0,"32,595,334",0,,
2020-04-06,131,236,"2,489",0,"3,793","1,240",0,"32,594,967",0,,
2020-04-07,170,80,"2,578",0,"3,963","1,320",0,"32,594,717",0,,
2020-04-08,156,166,"2,567",0,"4,119","1,486",0,"32,594,395",0,,
2020-04-09,109,121,"2,553",0,"4,228","1,607",0,"32,594,165",0,,
2020-04-10,118,222,"2,446",0,"4,346","1,829",0,"32,593,825",0,,
2020-04-11,184,165,"2,462",0,"4,530","1,994",0,"32,593,476",0,,
2020-04-12,153,113,"2,497",0,"4,683","2,107",0,"32,593,210",0,,
2020-04-13,134,168,"2,462",0,"4,817","2,275",0,"32,592,908",0,,
2020-04-14,170,202,"2,427",0,"4,987","2,477",0,"32,592,536",0,,
2020-04-15,85,169,"2,341",0,"5,072","2,646",0,"32,592,282",0,,
2020-04-16,110,119,"2,330",0,"5,182","2,765",0,"32,592,053",0,,
2020-04-17,69,201,"2,197",0,"5,251","2,966",0,"32,591,783",0,,
2020-04-18,54,135,"2,116",0,"5,305","3,101",0,"32,591,594",0,,
2020-04-19,84,95,"2,104",0,"5,389","3,196",0,"32,591,415",0,,
2020-04-20,36,98,"2,041",0,"5,425","3,294",0,"32,591,281",0,,
2020-04-21,57,54,"2,042",0,"5,482","3,348",0,"32,591,170",0,,
2020-04-22,50,103,"1,987",0,"5,532","3,451",0,"32,591,017",0,,
2020-04-23,71,90,"1,967",0,"5,603","3,541",0,"32,590,856",0,,
